,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg,ID.1,Epoche,dtm_Ivis_1,dtm_Ivis_2,dtm_Ivis_balladen_sup_1,dtm_Ivis_balladen_sup_2,sonett,dtm_Ivis_sonett_1,dtm_Ivis_sonett_2,bert_Ivis_sonett_1,bert_Ivis_sonett_2,bert_Ivis_sonett_sup_1,bert_Ivis_sonett_sup_2,bert_Ivis_1,bert_Ivis_2,bert_Ivis_sup_1,bert_Ivis_sup_2,dtm_Ivis_sup_1,dtm_Ivis_sup_2
1493,l00130027,"Ja, das möcht' ich noch erleben","Fontane, Theodor",3,8,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",1896,"Tille, Alexander",l00130027,Moderne,1.7816313999999998,-0.8432412,-4.6053076,0.65784115,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,2.26705,3.423757,0.45201316,-0.6165824000000001,-0.45975432,1.7407609
777,l00110048,Jeanette,"Bierbaum, Otto Julius",3,5,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",1904,"Benzmann, Hans",l00110048,Moderne,-0.11690855,-3.7003222,-2.7908075,0.96323603,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,2.7259645,-1.7688087,2.7386383999999997,3.0561678,1.6750227999999998,-0.6270768
4960,l0090015,Jeanette,"Bierbaum, Otto Julius",4,5,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,1899,"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]",l0090015,Moderne,0.9047333,-3.1991181,-3.2395594,0.7319808000000001,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,1.8686478,0.57416,1.7675401999999998,0.9602455,1.0100582,-0.042933103
4989,l0090044,Jugend,"Evers, Franz",2,8,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,1899,"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]",l0090044,Moderne,-1.8629482,-2.9504669,-2.1635814,1.4501646,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-2.2504847000000003,-0.50832576,0.27007929999999997,-0.52620006,1.7355417000000002,-0.9271108
2171,l00170096,Jugend,"Evers, Franz",2,8,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,1905,"Bethge, Hans",l00170096,Moderne,-1.8629482,-2.9504669,-2.1635814,1.4501646,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-1.994947,-0.5378295,0.287061,-0.32898033,1.7355417000000002,-0.9271108
73,l00100069,Jugend,"Evers, Franz",2,8,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",1898,"Gemmel, Ludwig",l00100069,Moderne,-1.9177883,-2.8228297,-2.1938598,1.4734774,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-1.1471853,-1.0785983000000001,0.7612739000000001,0.2353535,1.6240082,-1.023452
2210,l00170135,Leben,"Greiner, Leo",3,4,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,1905,"Bethge, Hans",l00170135,Moderne,1.7149974,0.589751,-4.385456,0.3439562,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,1.8498136000000003,2.6696044999999997,1.5411656,-1.4873103,-0.32608244,2.1193008
1721,l00140167,Leben,"Greiner, Leo",2,9,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,1908,"Federmann, Hertha",l00140167,Moderne,1.7097747,0.58091795,-4.2588506,0.25462696,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,1.8451042000000002,3.1672373,1.9461230999999999,-1.9943153000000002,-0.3786374,1.9920591
4581,l0050306,Lenzesgabe.,Robert Hamerling.,4,3,Blüthenzweige deutscher Lyrik nach Goethe,1875,"Willatzen, Peter Johann",l0050306,Realismus,0.47047484,-0.688153,-3.5236943,0.770355,sonett,0.47047484,-0.688153,3.2051823139190674,-1.108171820640564,-2.674840450286865,-0.6069119572639465,-1.0098343,1.5487977,-1.3846865,0.072495915,-1.1742167,0.3875588
3853,l0040193,Lenzesgabe.,Robert Hamerling.,4,3,Anthologie Deutscher Lyriker seit 1850,1865,"Kneschke, Emil",l0040193,Realismus,0.49953723,-1.0020483,-3.5068102,0.76176965,sonett,0.49953723,-1.0020483,3.2391364574432373,-1.0973891019821167,-2.850307941436768,-0.6843528747558594,-0.8581986999999999,1.6419878,-1.3362511000000001,0.078372456,-1.083008,0.25385714
1639,l00140085,Lethe,"David, Jakob Julius [alt. David, J. J.]",6,4,Der Schatzbehalter. Ein Brevier Zeitgenössischer Lyrik. Ausgewählt von H. Federmann. München 1908,1908,"Federmann, Hertha",l00140085,Moderne,3.6258736,-1.1803795,-5.1000485,0.087677,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-0.3410435,-0.041577864,0.69225466,-0.16567317,-1.2009143999999998,2.1270208
838,l00110109,Lethe,"David, Jakob Julius [alt. David, J. J.]",6,4,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",1904,"Benzmann, Hans",l00110109,Moderne,3.6545863,-1.2096363,-5.135726,0.09007398,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,0.050972502999999995,-0.8554860999999999,1.6003838,-0.14920826,-1.1732534,2.1641316
